d_mk	F	dF
0	5.22584e-05	0.00084227
0.0001	0.00344676	0.0328318
0.00020000000000000001	0.00793622	0.075226
0.00030000000000000003	0.01233	0.117231
0.00040000000000000002	0.0164146	0.15635
0.00050000000000000001	0.0195962	0.191038
0.00060000000000000006	0.0220565	0.21793
0.00069999999999999999	0.0236657	0.241272
0.00080000000000000004	0.0240613	0.255663
0.00090000000000000008	0.0239311	0.270105

