t[Ts]	C_l(t)	C_h(t)	N_l(t)	N_h(t)	E_h(t)	E_l(t)	A_LL(t)	A_HL(t)	A_HH(t)	A_L(t)	A_H(t)	A(t)
4.9	98.6303	0.416796	480.876	5.06042	0.0667109	1.07824	7.59372e+08	1.75544e+10	0	0	0	1.83137e+10
5	98.6329	0.411608	490.739	5.10183	0.0679786	1.07954	7.92147e+08	1.87045e+10	0	0	0	1.94967e+10
5.1	98.6353	0.4066	500.603	5.14274	0.0692465	1.08082	8.2562e+08	1.99041e+10	0	0	0	2.07297e+10
5.2	98.6377	0.401761	510.467	5.18316	0.0705145	1.08207	8.59791e+08	2.11541e+10	0	0	0	2.20139e+10
5.3	98.6398	0.397085	520.33	5.2231	0.0717826	1.08328	8.94659e+08	2.24555e+10	0	0	0	2.33502e+10
5.4	98.6419	0.392563	530.194	5.26258	0.0730508	1.08447	9.30226e+08	2.38096e+10	0	0	0	2.47398e+10
5.5	98.6439	0.388188	540.059	5.30162	0.0743191	1.08562	9.66491e+08	2.52172e+10	0	0	0	2.61837e+10
5.6	98.6457	0.383952	549.923	5.34022	0.0755876	1.08676	1.00345e+09	2.66794e+10	0	0	0	2.76828e+10
5.7	98.6474	0.37985	559.788	5.37841	0.0768561	1.08786	1.04112e+09	2.81973e+10	0	0	0	2.92384e+10
5.8	98.649	0.375875	569.653	5.4162	0.0781248	1.08895	1.07948e+09	2.97719e+10	0	0	0	3.08514e+10
5.9	98.6506	0.372021	579.518	5.45359	0.0793936	1.09001	1.11853e+09	3.14043e+10	0	0	0	3.25229e+10
6	98.652	0.368283	589.383	5.49061	0.0806624	1.09105	1.15829e+09	3.30956e+10	0	0	0	3.42538e+10
6.1	98.6533	0.364655	599.248	5.52725	0.0819314	1.09206	1.19875e+09	3.48466e+10	0	0	0	3.60454e+10
6.2	98.6546	0.361134	609.114	5.56354	0.0832005	1.09306	1.2399e+09	3.66587e+10	0	0	0	3.78986e+10
6.3	98.6558	0.357715	618.979	5.59948	0.0844696	1.09404	1.28176e+09	3.85326e+10	0	0	0	3.98144e+10
6.4	98.6569	0.354392	628.845	5.63509	0.0857389	1.095	1.32431e+09	4.04696e+10	0	0	0	4.17939e+10
6.5	98.6579	0.351163	638.71	5.67036	0.0870082	1.09594	1.36756e+09	4.24706e+10	0	0	0	4.38382e+10
6.6	98.6588	0.348023	648.576	5.70532	0.0882776	1.09687	1.41151e+09	4.45368e+10	0	0	0	4.59483e+10
6.7	98.6597	0.344969	658.442	5.73997	0.0895471	1.09777	1.45616e+09	4.66691e+10	0	0	0	4.81253e+10
6.8	98.6605	0.341997	668.308	5.77432	0.0908167	1.09867	1.50151e+09	4.88686e+10	0	0	0	5.03701e+10
6.9	98.6613	0.339104	678.174	5.80837	0.0920863	1.09954	1.54755e+09	5.11364e+10	0	0	0	5.26839e+10
7	98.6619	0.336287	688.04	5.84214	0.0933561	1.10041	1.5943e+09	5.34735e+10	0	0	0	5.50678e+10
7.1	98.6626	0.333543	697.907	5.87563	0.0946259	1.10125	1.64175e+09	5.58809e+10	0	0	0	5.75226e+10
7.2	98.6631	0.330869	707.773	5.90885	0.0958957	1.10209	1.68989e+09	5.83597e+10	0	0	0	6.00496e+10
7.3	98.6637	0.328263	717.639	5.94181	0.0971657	1.10291	1.73874e+09	6.0911e+10	0	0	0	6.26497e+10
7.4	98.6641	0.325723	727.506	5.97451	0.0984357	1.10372	1.78828e+09	6.35357e+10	0	0	0	6.5324e+10
7.5	98.6645	0.323244	737.372	6.00696	0.0997058	1.10452	1.83852e+09	6.62351e+10	0	0	0	6.80736e+10
7.6	98.6649	0.320827	747.239	6.03916	0.100976	1.1053	1.88947e+09	6.901e+10	0	0	0	7.08994e+10
7.7	98.6652	0.318467	757.105	6.07112	0.102246	1.10607	1.94111e+09	7.18615e+10	0	0	0	7.38026e+10
7.8	98.6655	0.316164	766.972	6.10285	0.103516	1.10684	1.99345e+09	7.47908e+10	0	0	0	7.67842e+10
7.9	98.6657	0.313915	776.838	6.13436	0.104787	1.10759	2.04649e+09	7.77988e+10	0	0	0	7.98453e+10
8	98.6659	0.311718	786.705	6.16564	0.106057	1.10833	2.10023e+09	8.08865e+10	0	0	0	8.29868e+10
8.1	98.666	0.309572	796.571	6.1967	0.107327	1.10906	2.15467e+09	8.40552e+10	0	0	0	8.62098e+10
8.2	98.6661	0.307475	806.438	6.22756	0.108598	1.10978	2.20981e+09	8.73057e+10	0	0	0	8.95155e+10
8.3	98.6662	0.305425	816.305	6.2582	0.109868	1.11049	2.26565e+09	9.06391e+10	0	0	0	9.29048e+10
8.4	98.6662	0.30342	826.171	6.28864	0.111139	1.1112	2.32219e+09	9.40566e+10	0	0	0	9.63788e+10
8.5	98.6662	0.30146	836.038	6.31889	0.11241	1.11189	2.37943e+09	9.75591e+10	0	0	0	9.99385e+10
8.6	98.6662	0.299542	845.904	6.34893	0.11368	1.11258	2.43737e+09	1.01148e+11	0	0	0	1.03585e+11
8.7	98.6661	0.297666	855.771	6.37879	0.114951	1.11325	2.496e+09	1.04823e+11	0	0	0	1.07319e+11
8.8	98.666	0.29583	865.638	6.40847	0.116222	1.11392	2.55534e+09	1.08587e+11	0	0	0	1.11143e+11
8.9	98.6659	0.294032	875.504	6.43796	0.117493	1.11458	2.61538e+09	1.1244e+11	0	0	0	1.15056e+11
9	98.6657	0.292273	885.371	6.46728	0.118763	1.11524	2.67612e+09	1.16384e+11	0	0	0	1.1906e+11
9.1	98.6655	0.290549	895.237	6.49642	0.120034	1.11589	2.73755e+09	1.20418e+11	0	0	0	1.23156e+11
9.2	98.6653	0.288861	905.104	6.52539	0.121305	1.11653	2.79969e+09	1.24546e+11	0	0	0	1.27345e+11
9.3	98.6651	0.287207	914.97	6.55419	0.122576	1.11716	2.86253e+09	1.28766e+11	0	0	0	1.31629e+11
9.4	98.6648	0.285586	924.837	6.58283	0.123847	1.11778	2.92606e+09	1.33081e+11	0	0	0	1.36007e+11
9.5	98.6645	0.283998	934.703	6.61131	0.125118	1.1184	2.9903e+09	1.37492e+11	0	0	0	1.40482e+11
9.6	98.6641	0.282441	944.57	6.63963	0.126389	1.11902	3.05524e+09	1.41999e+11	0	0	0	1.45054e+11
9.7	98.6638	0.280914	954.436	6.6678	0.127661	1.11962	3.12087e+09	1.46604e+11	0	0	0	1.49725e+11
9.8	98.6634	0.279416	964.303	6.69582	0.128932	1.12022	3.18721e+09	1.51307e+11	0	0	0	1.54494e+11
9.9	98.663	0.277948	974.169	6.72368	0.130203	1.12082	3.25424e+09	1.5611e+11	0	0	0	1.59365e+11
10	98.6626	0.276507	984.035	6.75141	0.131474	1.12141	3.32198e+09	1.61014e+11	0	0	0	1.64336e+11
